Energy (eV),JH 99% metal
0.925255172,0.070229642
0.925946176,0.070074543
0.926638214,0.06987264
0.927331287,0.069709733
0.928025397,0.069573991
0.928720547,0.069633
0.929416739,0.069480628
0.930113976,0.069204167
0.93081226,0.069140263
0.931511593,0.068749949
0.932211978,0.068690635
0.932913416,0.068532988
0.933615911,0.068250917
0.934319465,0.068096131
0.93502408,0.06795983
0.935729759,0.067523904
0.936436503,0.067380168
0.937144316,0.067281686
0.9378532,0.067046247
0.938563157,0.066786423
0.939274189,0.066572435
0.9399863,0.066348419
0.940699492,0.066142388
0.941413766,0.065756023
0.942129126,0.065627076
0.942845574,0.065466508
0.943563113,0.065207623
0.944281744,0.064992756
0.945001471,0.064879909
0.945722296,0.064620659
0.946444221,0.064381763
0.94716725,0.064303264
0.947891384,0.064088903
0.948616626,0.063939847
0.949342979,0.063822202
0.950070445,0.063664012
0.950799026,0.063523665
0.951528726,0.063409284
0.952259547,0.063158661
0.952991491,0.063102983
0.953724562,0.062975988
0.954458761,0.062826417
0.955194091,0.062698819
0.955930555,0.062571704
0.956668156,0.062427919
0.957406896,0.06226578
0.958146778,0.062248722
0.958887804,0.062128726
0.959629977,0.062044781
0.9603733,0.061906453
0.961117775,0.061825562
0.961863406,0.061722219
0.962610194,0.061670538
0.963358143,0.061482288
0.964107255,0.061445758
0.964857533,0.06133654
0.96560898,0.061287589
0.966361598,0.061230894
0.96711539,0.061142262
0.967870359,0.061108205
0.968626508,0.060989451
0.969383839,0.060898542
0.970142355,0.060911916
0.97090206,0.060872752
0.971662955,0.060808163
0.972425043,0.060725212
0.973188328,0.06075415
0.973952812,0.060721431
0.974718499,0.060717057
0.97548539,0.06068949
0.976253488,0.060775083
0.977022798,0.060733221
0.97779332,0.060719438
0.978565059,0.060760938
0.979338017,0.060776897
0.980112198,0.060690768
0.980887603,0.060748406
0.981664236,0.060760878
0.9824421,0.060842793
0.983221198,0.060905751
0.984001532,0.060958739
0.984783106,0.060992278
0.985565922,0.060945127
0.986349984,0.061067324
0.987135295,0.061058089
0.987921857,0.061135259
0.988709673,0.061231133
0.989498747,0.061221506
0.990289082,0.061252356
0.99108068,0.061345961
0.991873544,0.061337732
0.992667678,0.0614352
0.993463085,0.061504357
0.994259768,0.061532304
0.995057729,0.061526518
0.995856972,0.061621699
0.9966575,0.061644882
0.997459316,0.06165947
0.998262424,0.061675701
0.999066825,0.061782021
0.999872524,0.061851561
1.000679524,0.061897378
1.001487827,0.061943084
1.002297437,0.061969385
1.003108358,0.061977744
1.003920591,0.062088918
1.004734141,0.062091425
1.005549011,0.062121082
1.006365203,0.062220909
1.007182721,0.062312808
1.008001569,0.062373407
1.008821749,0.0623625
1.009643266,0.062491853
1.010466121,0.062489133
1.011290318,0.06254375
1.012115861,0.062645555
1.012942753,0.06272044
1.013770998,0.06274984
1.014600597,0.062856391
1.015431556,0.062851213
1.016263877,0.062934242
1.017097564,0.062965244
1.017932619,0.063022614
1.018769047,0.063114718
1.01960685,0.063110404
1.020446033,0.063228302
1.021286598,0.063175634
1.022128549,0.063237436
1.02297189,0.063191146
1.023816623,0.063266061
1.024662752,0.063262738
1.025510281,0.063266993
1.026359214,0.063251957
1.027209553,0.063198179
1.028061302,0.063224107
1.028914465,0.063192584
1.029769045,0.063297927
1.030625046,0.063212015
1.031482471,0.063273191
1.032341324,0.06332919
1.033201608,0.063229591
1.034063328,0.063358724
1.034926486,0.063456073
1.035791086,0.063367166
1.036657132,0.063384958
1.037524628,0.063381933
1.038393576,0.063384362
1.039263982,0.063435465
1.040135847,0.063449934
1.041009177,0.06350141
1.041883975,0.06356208
1.042760244,0.063462131
1.043637988,0.063508481
1.044517212,0.063554294
1.045397917,0.063503891
1.04628011,0.063511893
1.047163792,0.063616686
1.048048969,0.063563973
1.048935643,0.063636646
1.049823819,0.063658647
1.0507135,0.063694134
1.05160469,0.063636467
1.052497394,0.063735589
1.053391614,0.063764341
1.054287356,0.063765749
1.055184621,0.063753575
1.056083416,0.063845649
1.056983743,0.063854381
1.057885606,0.063943684
1.058789009,0.063991196
1.059693957,0.064107351
1.060600453,0.064142942
1.061508502,0.064275496
1.062418106,0.064306743
1.063329271,0.064478956
1.064242,0.064488925
1.065156297,0.064672954
1.066072167,0.064719558
1.066989613,0.064818092
1.067908639,0.06495671
1.06882925,0.06505467
1.06975145,0.065177128
1.070675242,0.065298207
1.071600631,0.06547454
1.072527621,0.065680735
1.073456217,0.065841474
1.074386421,0.066048801
1.075318239,0.066095188
1.076251675,0.066262953
1.077186733,0.066341512
1.078123417,0.066533178
1.079061732,0.066583268
1.080001681,0.066574
1.080943269,0.066597842
1.081886501,0.066456817
1.08283138,0.066498876
1.083777911,0.066275194
1.084726098,0.066296183
1.085675946,0.066175729
1.086627458,0.06599573
1.08758064,0.065808401
1.088535496,0.065436199
1.08949203,0.065380767
1.090450246,0.065144219
1.09141015,0.064962693
1.092371745,0.06487859
1.093335035,0.064799458
1.094300027,0.064599663
1.095266723,0.064613059
1.096235128,0.064501807
1.097205248,0.064496823
1.098177086,0.064464606
1.099150647,0.064463705
1.100125936,0.064515203
1.101102957,0.064573951
1.102081716,0.064573646
1.103062215,0.064736895
1.104044461,0.064786471
1.105028458,0.064828545
1.106014211,0.064931281
1.107001723,0.06503918
1.107991001,0.065193877
1.108982048,0.065238304
1.10997487,0.065379657
1.110969471,0.06557487
1.111965857,0.065607354
1.112964031,0.065747105
1.113963998,0.065906361
1.114965764,0.066119455
1.115969334,0.066243872
1.116974712,0.066411182
1.117981903,0.066550016
1.118990912,0.066759072
1.120001744,0.06688077
1.121014403,0.06706389
1.122028896,0.067255117
1.123045227,0.067421883
1.1240634,0.067631938
1.125083421,0.067671984
1.126105295,0.067862637
1.127129027,0.067969516
1.128154622,0.068156421
1.129182086,0.068397246
1.130211422,0.068555087
1.131242637,0.068729505
1.132275735,0.068906732
1.133310722,0.069150038
1.134347603,0.069311582
1.135386383,0.069509789
1.136427067,0.069680706
1.137469661,0.069963403
1.138514169,0.07018771
1.139560598,0.070412412
1.140608951,0.070519552
1.141659236,0.070765838
1.142711456,0.070968822
1.143765618,0.071179196
1.144821727,0.071314134
