100x_HR25-042_Raw_A_1,
Wavelength (nm),Abs
1340,0.3872303963
1339,0.3880825639
1338,0.3890272677
1337,0.3900794387
1336,0.3912557662
1335,0.3923544586
1334,0.3935388327
1333,0.394584626
1332,0.3958230019
1331,0.3971469998
1330,0.3985636234
1329,0.3998801112
1328,0.4012652934
1327,0.4026036859
1326,0.4038522243
1325,0.4052341878
1324,0.4067030549
1323,0.4080694318
1322,0.4094760418
1321,0.4107784331
1320,0.4120372534
1319,0.4131671488
1318,0.4143843055
1317,0.4155977964
1316,0.4167818427
1315,0.4177663028
1314,0.4186575413
1313,0.4195515811
1312,0.4203186333
1311,0.421148181
1310,0.4220196903
1309,0.4229721725
1308,0.4238014519
1307,0.4246730804
1306,0.4255074263
1305,0.426464498
1304,0.4273756444
1303,0.4283896685
1302,0.4294664562
1301,0.4304442704
1300,0.4315434396
1299,0.4326598346
1298,0.4337361157
1297,0.4348909855
1296,0.4360813498
1295,0.4372370243
1294,0.4384242892
1293,0.4395670891
1292,0.4409193695
1291,0.4422008991
1290,0.4435634315
1289,0.4449511766
1288,0.4463439584
1287,0.4479627311
1286,0.4495084584
1285,0.4510674477
1284,0.4527990222
1283,0.4546145797
1282,0.4564412534
1281,0.4582200646
1280,0.4599762857
1279,0.4616601169
1278,0.4631989002
1277,0.4645731449
1276,0.4657638669
1275,0.4666516781
1274,0.4673109651
1273,0.4675869644
1272,0.4675115943
1271,0.4671474099
1270,0.4664736986
1269,0.4656143188
1268,0.4644565582
1267,0.4631092548
1266,0.4616952837
1265,0.4601919055
1264,0.4585804641
1263,0.4569784105
1262,0.4554028809
1261,0.4537321031
1260,0.4520650506
1259,0.4503755867
1258,0.4487069249
1257,0.4468306899
1256,0.4450670183
1255,0.4431278706
1254,0.4410234392
1253,0.4389488697
1252,0.4366107285
1251,0.4342763424
1250,0.4317921698
1249,0.4291146398
1248,0.4263751805
1247,0.4233979285
1246,0.4205911756
1245,0.4176879227
1244,0.4147545993
1243,0.4119731486
1242,0.4091055989
1241,0.4064268768
1240,0.4039555788
1239,0.4016520679
1238,0.3993328512
1237,0.3973066807
1236,0.3954917789
1235,0.3939303458
1234,0.392403096
1233,0.3911769688
1232,0.3900993168
1231,0.3891815245
1230,0.3885172009
1229,0.3878266513
1228,0.3873789012
1227,0.3870600164
1226,0.3869681954
1225,0.3868106902
1224,0.3867932558
1223,0.3869080245
1222,0.3871559501
1221,0.3874270916
1220,0.3877926767
1219,0.3882209361
1218,0.3888510168
1217,0.3895187676
1216,0.3902915716
1215,0.3911765814
1214,0.3921896517
1213,0.3932650983
1212,0.3945244849
1211,0.3958589137
1210,0.3972293735
1209,0.3986411393
1208,0.3998930752
1207,0.4012584388
1206,0.4025466144
1205,0.4036412537
1204,0.404689163
1203,0.4055606127
1202,0.4063439071
1201,0.4068683386
1200,0.4074116349
1199,0.4078180194
1198,0.4082573354
1197,0.4085896313
1196,0.4088502824
1195,0.4091311991
1194,0.4094413817
1193,0.409765929
1192,0.4101086855
1191,0.4105662704
1190,0.4110641778
1189,0.4117202163
1188,0.4123890996
1187,0.4131624103
1186,0.4140659869
1185,0.4149951339
1184,0.4159328341
1183,0.4168241918
1182,0.4176454246
1181,0.4184269607
1180,0.4189386666
1179,0.4191746116
1178,0.4190439582
1177,0.4187018871
1176,0.4179340601
1175,0.4169043601
1174,0.4156114161
1173,0.4141417742
1172,0.4124323726
1171,0.4105894268
1170,0.4087370634
1169,0.4068396688
1168,0.4050593674
1167,0.4032019079
1166,0.4016817212
1165,0.4001527131
1164,0.3988492489
1163,0.3976768553
1162,0.3967384994
1161,0.396065861
1160,0.3955568373
1159,0.3952279091
1158,0.3950584531
1157,0.3952002823
1156,0.3955506086
1155,0.3960796595
1154,0.396767199
1153,0.3977361917
1152,0.3989183903
1151,0.4001823664
1150,0.4014159739
1149,0.4028729796
1148,0.4043746293
1147,0.4059316218
1146,0.4073722661
1145,0.4089004099
1144,0.4103709459
1143,0.4116469622
1142,0.4128452837
1141,0.4142022133
1140,0.4154545665
1139,0.4167565703
1138,0.4181132615
1137,0.4194147885
1136,0.4207574129
1135,0.4222554862
1134,0.4235914052
1133,0.4250778556
1132,0.4263939559
1131,0.4276748896
1130,0.42881006
1129,0.4297570288
1128,0.4304339886
1127,0.4309139848
1126,0.4311448038
1125,0.4310288429
1124,0.4308123589
1123,0.4302496314
1122,0.4295527637
1121,0.4286604524
1120,0.4275376201
1119,0.4262495041
1118,0.4248688221
1117,0.4232547581
1116,0.4213568568
1115,0.4195251763
1114,0.4174744189
1113,0.4152444601
1112,0.4129254818
1111,0.4105241001
1110,0.4079158902
1109,0.4052352011
1108,0.4022957981
1107,0.3991874456
1106,0.3960435688
1105,0.3928990364
1104,0.3897407651
1103,0.3864206076
1102,0.3833786547
1101,0.3803132772
1100,0.3774183989
1099,0.3747810125
1098,0.3722583354
1097,0.3700658083
1096,0.3679628074
1095,0.3661070168
1094,0.3643833697
1093,0.362955451
1092,0.361679256
1091,0.3604954183
1090,0.3595511019
1089,0.3587936461
1088,0.3580209613
1087,0.3575227857
1086,0.3570507467
1085,0.3567513824
1084,0.3565460145
1083,0.3564335406
1082,0.3563987613
1081,0.3565005958
1080,0.3566312492
1079,0.3568300903
1078,0.3570297658
1077,0.3573471904
1076,0.3577722013
1075,0.3582108319
1074,0.3587866724
1073,0.3593324125
1072,0.3599423766
1071,0.3606570661
1070,0.3613815606
1069,0.3622636795
1068,0.3631535172
1067,0.3640982509
