Energy (eV),IsoM5,IsoM16,IsoS5,IsoS16
1.377602145,99.83461761,99.83390808,97.48905945,97.22018433
1.379134516,99.40536499,99.65913391,96.59386444,96.71918488
1.380670301,98.9183197,99.38214111,96.74373627,96.46762848
1.38220951,98.81876373,99.66832733,96.75967407,96.68967438
1.383752154,99.23526001,99.17382813,96.68749237,96.7924118
1.385298246,98.62307739,99.05007935,96.77890778,96.25115967
1.386847797,99.46094513,99.75645447,96.96128082,96.82516479
1.388400818,99.85533142,99.58541107,97.1991272,97.16249084
1.389957321,99.18621063,99.42854309,96.52293396,96.68131256
1.391517318,99.3163681,99.99066925,96.99251556,96.95977783
1.39308082,99.11392975,99.27082062,96.44864655,96.88994598
1.39464784,99.1523056,99.158638,96.75543976,96.44877625
1.39621839,99.38195038,99.52446747,96.68008423,96.8475647
1.39779248,99.51012421,99.85116577,96.81053162,96.52069855
1.399370124,99.36764526,99.76386261,96.97743225,97.13430786
1.400951333,99.3911438,99.59725189,97.09212494,97.17550659
1.40253612,99.26531219,99.38864136,97.02427673,96.79152679
1.404124496,99.49601746,99.62980652,97.07038116,97.11598206
1.405716474,99.23377228,99.52753448,97.15219116,96.9019928
1.407312066,99.40512085,99.54664612,96.96986389,97.07589722
1.408911284,99.251297,99.56110382,96.90820313,97.07030487
1.410514141,99.25481415,99.57546234,96.88603973,97.14190674
1.412120649,99.13369751,99.45476532,96.84015656,97.00429535
1.413730821,99.52009583,99.70791626,97.33614349,97.29004669
1.415344669,99.29039764,99.37519836,97.15945435,96.82408905
1.416962206,99.25721741,99.25585938,97.01200867,96.75686646
1.418583444,99.22963715,99.58061218,97.12519073,96.98326874
1.420208396,99.34670258,99.56278229,97.28331757,97.24506378
1.421837076,99.06750488,99.54636383,96.90505981,97.0198288
1.423469495,99.55606079,99.55796051,97.23538971,97.29547882
1.425105667,99.11631012,99.23310852,96.94286346,96.95629883
1.426745604,99.08428192,99.17356873,97.05310822,97.03871918
1.42838932,99.3252182,99.46127319,97.23665619,97.11419678
1.430036828,99.40748596,99.42784882,97.19083405,97.14463043
1.431688141,99.23093414,99.50720978,97.16928864,97.23049927
1.433343272,99.32500458,99.48846436,97.19831085,97.13452911
1.435002234,99.34228516,99.43296051,97.15644073,97.1868515
1.436665041,99.31802368,99.49404907,97.24037933,97.17024231
1.438331705,99.26019287,99.33803558,97.16675568,97.08878326
1.440002242,99.06707001,99.26628876,96.98787689,97.03892517
1.441676663,99.19368744,99.35905457,97.13793945,97.19013977
1.443354983,99.16223907,99.40457916,97.0459671,97.24549866
1.445037215,99.22177887,99.28837585,97.17765045,97.12866211
1.446723372,99.2076416,99.42993164,97.16395569,97.11539459
1.44841347,99.22122955,99.52946472,97.17525482,97.1865387
1.450107521,99.18455505,99.37136841,97.26940155,97.23453522
1.451805539,99.15179443,99.35781097,97.17661285,97.15116119
1.453507538,99.20471191,99.42843628,97.27689362,97.29201508
1.455213533,99.1133728,99.44290924,97.24588013,97.23829651
1.456923537,99.17222595,99.36183929,97.19483948,97.15276337
1.458637565,99.25630951,99.43502045,97.2179718,97.22872925
1.46035563,99.14825439,99.35077667,97.19539642,97.21981049
1.462077748,99.17527771,99.34295654,97.24828339,97.31885529
1.463803932,99.29721069,99.39414215,97.3490448,97.32695007
1.465534196,99.23020935,99.43173981,97.33255768,97.32938385
1.467268556,99.19200134,99.36489105,97.21781921,97.24583435
1.469007026,99.1917572,99.44335175,97.32243347,97.33470917
1.470749621,99.21318054,99.40342712,97.25812531,97.29051208
1.472496354,99.18682861,99.32846069,97.38604736,97.30193329
1.474247241,99.22186279,99.45947266,97.35042572,97.33435822
1.476002298,99.12171173,99.35137939,97.28171539,97.29312134
1.477761538,99.12526703,99.39805603,97.28951263,97.33278656
1.479524976,99.1815033,99.34751129,97.30415344,97.33321381
1.481292629,99.14311218,99.35302734,97.23789978,97.31858826
1.48306451,99.13825226,99.31978607,97.2754364,97.30501556
