Energy (eV),400mL,50mL,800mL
1.377602145,0.079135127,0.071772106,0.078999884
1.379134516,0.078915596,0.074086979,0.078686826
1.380670301,0.078219429,0.07399191,0.077868864
1.38220951,0.077342302,0.073492341,0.078618571
1.383752154,0.078892559,0.074464522,0.078420348
1.385298246,0.078741811,0.07409855,0.078917116
1.386847797,0.079620212,0.072851524,0.078099467
1.388400818,0.078519493,0.074919432,0.07956823
1.389957321,0.078157038,0.073324606,0.079689838
1.391517318,0.078660607,0.073599264,0.079126157
1.39308082,0.078030616,0.072249159,0.078310251
1.39464784,0.077456057,0.072916456,0.077269927
1.39621839,0.077177562,0.072969891,0.077325076
1.39779248,0.076830745,0.072813042,0.077245682
1.399370124,0.07798963,0.07251998,0.078178488
1.400951333,0.078559101,0.073616773,0.078359947
1.40253612,0.07743907,0.072655298,0.077596731
1.404124496,0.076649517,0.072219163,0.076621659
1.405716474,0.076885954,0.072388306,0.077452928
1.407312066,0.076841801,0.071225367,0.077485509
1.408911284,0.077349201,0.072024852,0.077141047
1.410514141,0.075936742,0.070506148,0.076565929
1.412120649,0.076036282,0.071114637,0.076830715
1.413730821,0.076041743,0.071144216,0.077049263
1.415344669,0.076412462,0.071834013,0.077217542
1.416962206,0.075143881,0.070262387,0.07660412
1.418583444,0.075985834,0.0714745,0.077069417
1.420208396,0.077053986,0.071373411,0.077187978
1.421837076,0.075651057,0.070618458,0.076099135
1.423469495,0.074628606,0.069966719,0.075679496
1.425105667,0.075831249,0.071643412,0.076330803
1.426745604,0.075094156,0.070313483,0.07534311
1.42838932,0.075344406,0.069956958,0.075942971
1.430036828,0.073214293,0.068773605,0.074102849
1.431688141,0.074820459,0.069631353,0.075358324
1.433343272,0.074778609,0.069913477,0.075717643
1.435002234,0.074380331,0.069960579,0.076013245
1.436665041,0.074164994,0.069901556,0.075103045
1.438331705,0.074933924,0.069572769,0.075375348
1.440002242,0.074750409,0.069397978,0.075303979
1.441676663,0.074188702,0.069321632,0.07439471
1.443354983,0.07436116,0.06939391,0.075400323
1.445037215,0.073954649,0.069414198,0.074893966
1.446723372,0.074548073,0.069335148,0.074770182
1.44841347,0.074355356,0.069441594,0.07526131
1.450107521,0.073629409,0.069315322,0.074400209
1.451805539,0.073835395,0.069501467,0.07440608
1.453507538,0.073903762,0.069141544,0.074749798
1.455213533,0.074006766,0.068392128,0.074463256
1.456923537,0.073913828,0.068652675,0.074526899
1.458637565,0.074214593,0.068793349,0.074783616
1.46035563,0.073673233,0.06865792,0.074414894
1.462077748,0.073774002,0.068736695,0.074414253
1.463803932,0.073547132,0.068994261,0.074566484
1.465534196,0.071731895,0.067251161,0.07301034
1.467268556,0.072727092,0.06749288,0.073176824
1.469007026,0.072937675,0.067828171,0.073320992
1.470749621,0.072947234,0.068091705,0.073797226
1.472496354,0.072882809,0.067878075,0.073812634
1.474247241,0.073091999,0.067862369,0.073630236
1.476002298,0.072166316,0.067738451,0.073430106
1.477761538,0.072650313,0.067795396,0.073891915
1.479524976,0.072645143,0.067705654,0.073420972
1.481292629,0.072435834,0.067456655,0.073213927
1.48306451,0.072495751,0.06744045,0.073393755
1.484840635,0.072116867,0.067593284,0.073289365
1.486621019,0.07266029,0.066953972,0.072951607
1.488405678,0.072176248,0.066718198,0.072999626
1.490194628,0.072012052,0.067005225,0.072974421
1.491987882,0.071694888,0.066786513,0.072558738
1.493785458,0.071856245,0.066829592,0.072648689
1.49558737,0.071875371,0.066924706,0.072951086
1.497393635,0.071817063,0.066805921,0.072476849
1.499204269,0.071714245,0.066758409,0.072709896
1.501019286,0.071535259,0.066488348,0.072510742
1.502838703,0.071552597,0.066862807,0.072383597
1.504662537,0.071319714,0.066492416,0.072356172
1.506490802,0.071414478,0.066379212,0.072235733
1.508323516,0.071325541,0.066413537,0.07214269
1.510160694,0.071267158,0.06638512,0.072194099
1.512002354,0.071079761,0.066235788,0.072183557
1.51384851,0.071094394,0.066187821,0.071606047
1.515699181,0.070901223,0.066123493,0.071826592
1.517554382,0.070783779,0.065950714,0.071902983
1.51941413,0.070814036,0.06587518,0.071963102
1.521278442,0.07083308,0.065870091,0.07177715
1.523147334,0.070764735,0.065849967,0.071691833
1.525020824,0.070840001,0.065660499,0.071816944
1.526898929,0.070731685,0.065665439,0.07184498
1.528781665,0.070551157,0.065849185,0.071760073
1.530669049,0.070591874,0.065744519,0.071634434
1.5325611,0.07053493,0.065621473,0.071550399
1.534457834,0.070423245,0.065587424,0.071451426
1.536359269,0.070356153,0.065442882,0.071443833
1.538265422,0.070249297,0.065350793,0.071411759
1.540176311,0.070246533,0.065427922,0.071391076
1.542091953,0.070071593,0.065285206,0.071322456
1.544012366,0.070054129,0.065240264,0.071272679
1.545937569,0.070022531,0.065268271,0.071232051
1.547867578,0.069982901,0.065088227,0.07079719
1.549802413,0.070050664,0.06509424,0.070697382
1.55174209,0.069530204,0.065190025,0.071207769
1.553686629,0.069483697,0.064980552,0.071219176
1.555636048,0.069715597,0.064959541,0.07098873
1.557590364,0.069864854,0.065021649,0.071118727
1.559549598,0.069911495,0.064955965,0.070918076
1.561513766,0.069831111,0.064910479,0.070968553
1.563482888,0.069609292,0.06468606,0.070785485
1.565456982,0.06968803,0.064826861,0.070884429
1.567436068,0.069776908,0.06438978,0.070902377
1.569420165,0.0697321,0.06481424,0.07081306
1.57140929,0.069752835,0.064915322,0.07086011
1.573403465,0.069434308,0.064606175,0.070755169
1.575402707,0.069504596,0.064651147,0.070696466
1.577407036,0.069534704,0.064716429,0.070812389
1.579416471,0.06933099,0.064400949,0.070593059
1.581431033,0.069360562,0.064509794,0.070430674
1.583450741,0.069310524,0.064491391,0.070507921
1.585475614,0.069398865,0.064493611,0.070551306
1.587505672,0.069349572,0.064467244,0.07045339
1.589540936,0.069174901,0.064331748,0.07037022
1.591581425,0.06922745,0.064403139,0.0700555
1.59362716,0.069237798,0.064295217,0.070227511
1.59567816,0.068911918,0.064197496,0.070377007
1.597734446,0.068910584,0.064283632,0.070353024
1.599796039,0.069178604,0.064396717,0.070347391
1.601862959,0.069030494,0.064274624,0.07038781
1.603935227,0.069013983,0.064220093,0.070295617
1.606012863,0.069081537,0.064181171,0.070273735
1.608095889,0.069067366,0.064268775,0.070290901
1.610184325,0.069011159,0.064061992,0.070240475
1.612278193,0.069013618,0.064142458,0.070169397
1.614377513,0.06911204,0.064244099,0.07034903
1.616482308,0.068699002,0.063924283,0.070040502
1.618592598,0.068904519,0.064080261,0.070178404
1.620708405,0.06876117,0.063984804,0.070103407
1.622829751,0.068825133,0.064074442,0.070060425
1.624956658,0.068859622,0.064018942,0.070017539
1.627089147,0.068822496,0.063975148,0.070071682
1.629227241,0.068841666,0.064000972,0.070039712
1.631370961,0.069176361,0.063967653,0.070202589
1.63352033,0.068789922,0.063943148,0.069706663
1.63567537,0.068811089,0.063866973,0.069993027
1.637836103,0.068659253,0.063996986,0.070098147
1.640002553,0.068933398,0.064117529,0.070197567
1.642174742,0.06880939,0.063945308,0.070126347
1.644352692,0.068968564,0.064008653,0.070192158
1.646536428,0.068976238,0.064070962,0.070109129
1.648725971,0.069029063,0.064262196,0.070223436
1.650921345,0.06897378,0.064047799,0.070108913
1.653122573,0.068995051,0.064007841,0.07014183
1.65532968,0.068896085,0.06405203,0.070073113
1.657542687,0.068797626,0.064017802,0.070071377
1.65976162,0.068894625,0.064053893,0.07002788
1.661986501,0.06888923,0.064054459,0.070158653
1.664217356,0.06890934,0.064004451,0.07005842
1.666454207,0.068807721,0.0640193,0.070082605
1.66869708,0.068893291,0.064008534,0.070136413
1.670945997,0.068924569,0.064105585,0.06985388
1.673200985,0.069021568,0.064066879,0.070169277
1.675462068,0.068871297,0.063938767,0.070085369
1.677729269,0.068946019,0.063926741,0.070046827
